2000,2000,2000,0.024635,649.478041
3000,3000,3000,0.073070,739.016804
4000,4000,4000,0.162033,789.964172
5000,5000,5000,0.323944,771.737303
6000,6000,6000,0.537414,803.849700
7000,7000,7000,0.863964,794.014242
8000,8000,8000,1.275206,803.007350
9000,9000,9000,1.803513,808.422305
10000,10000,10000,2.473273,808.645007
11000,11000,11000,3.293043,808.370963
12000,12000,12000,4.299691,803.778644
13000,13000,13000,5.443931,807.137332
14000,14000,14000,6.836799,802.714829
15000,15000,15000,8.431060,800.611060
16000,16000,16000,10.187952,804.087058
17000,17000,17000,12.251006,802.056562
18000,18000,18000,14.465396,806.338098
19000,19000,19000,17.086627,802.850066
20000,20000,20000,20.187311,792.577098
