2000,2000,2000,0.015530,1030.270905
3000,3000,3000,0.040391,1336.927589
4000,4000,4000,0.086907,1472.841307
5000,5000,5000,0.167827,1489.630080
6000,6000,6000,0.277876,1554.649196
7000,7000,7000,0.430974,1591.744517
8000,8000,8000,0.633450,1616.543535
9000,9000,9000,0.900711,1618.721615
10000,10000,10000,1.246482,1604.515662
11000,11000,11000,1.639016,1624.145572
12000,12000,12000,2.138819,1615.844917
13000,13000,13000,2.706694,1623.382902
14000,14000,14000,3.366489,1630.184875
15000,15000,15000,4.163653,1621.172483
16000,16000,16000,5.029829,1628.683574
17000,17000,17000,6.040570,1626.667711
18000,18000,18000,7.151911,1630.892778
19000,19000,19000,8.458709,1621.760537
20000,20000,20000,9.883706,1618.826030
